time,Price_first,Price_max,Price_min,Price_last,Volume_sum,high,low,open,close,volume,open%,close%,high%,low%,RSI,%K,%D,Williams_%R,ADL,cmf,obv
2019-01-02,499.0,580.0,431.0,473.0,3424273.0,580.0,431.0,499.0,473.0,3415553,-0.14113597246127366,-0.10922787193973635,-0.0017211703958691911,-0.1743295019157088,42.322465710929,48.739495798319325,52.86878660401197,-51.260504201680675,-26686630.910184752,-0.33718598415193535,-20875939
2019-01-05,569.0,591.0,501.0,519.0,2345110.0,591.0,501.0,569.0,519.0,2336390,0.1402805611222445,0.09725158562367865,0.01896551724137931,0.16241299303944315,46.308470296605215,61.31386861313869,55.1852522519852,-38.68613138686131,-28088464.910184752,-0.31936356703643415,-18539549
2019-01-06,496.0,530.0,491.0,516.0,1852595.0,530.0,491.0,496.0,516.0,1843875,-0.1282952548330404,-0.005780346820809248,-0.10321489001692047,-0.01996007984031936,46.08478533711537,68.23770491803279,59.430356443163596,-31.762295081967213,-27568397.602492444,-0.29244814859948387,-20383424
2019-01-07,531.0,531.0,501.0,511.0,10895313.0,531.0,501.0,531.0,511.0,10886593,0.07056451612903226,-0.009689922480620155,0.0018867924528301887,0.020366598778004074,45.688673039336656,71.61572052401746,67.05576468506298,-28.38427947598253,-31197261.935825776,-0.28996896318851484,-31270017
2019-01-12,511.0,629.0,508.0,580.0,3669824.0,629.0,508.0,511.0,580.0,3661104,-0.03766478342749529,0.1350293542074364,0.18455743879472694,0.013972055888223553,51.84052995674595,86.68122270742359,75.51154938315794,-13.318777292576419,-30501349.605247263,-0.24894900615631063,-27608913
2019-01-13,623.0,623.0,521.0,524.0,2989761.0,623.0,521.0,623.0,524.0,2981041,0.2191780821917808,-0.09655172413793103,-0.009538950715421303,0.025590551181102362,47.17059544629821,74.45414847161572,77.58369723435226,-25.54585152838428,-33307035.252306085,-0.24235830923298166,-30589954
2019-01-14,599.0,600.0,524.0,565.0,2556442.0,600.0,524.0,599.0,565.0,2547722,-0.038523274478330656,0.07824427480916031,-0.03691813804173355,0.005758157389635317,50.674056332882785,81.46341463414635,80.86626193772854,-18.536585365853657,-33105899.304937664,-0.2076425359540481,-28042232
2019-01-15,570.0,580.0,528.0,530.0,6063508.0,580.0,528.0,570.0,530.0,6054788,-0.048414023372287146,-0.061946902654867256,-0.03333333333333333,0.007633587786259542,47.76216961710407,72.92682926829268,76.28146412468492,-27.073170731707318,-38694934.38186074,-0.2981941873005368,-34097020
2019-01-16,549.0,579.0,510.0,521.0,3254620.0,579.0,510.0,549.0,521.0,3245900,-0.03684210526315789,-0.016981132075471698,-0.0017241379310344827,-0.03409090909090909,47.014042241309966,70.51597051597052,74.96873813946983,-29.484029484029485,-40905909.744179584,-0.30633504727622807,-37342920
2019-01-19,550.0,558.0,481.0,490.0,2767276.0,558.0,481.0,550.0,490.0,2758556,0.0018214936247723133,-0.05950095969289827,-0.03626943005181347,-0.056862745098039215,44.43240515859323,37.083333333333336,60.17537770586551,-62.916666666666664,-43019608.49742634,-0.30783891992472884,-40101476
2019-01-20,560.0,697.0,510.0,510.0,6409770.0,697.0,510.0,560.0,510.0,6401050,0.01818181818181818,0.04081632653061224,0.24910394265232974,0.060291060291060294,46.47452449142954,29.69924812030075,45.7661839898682,-70.30075187969925,-49420658.49742634,-0.3339725409446714,-33700426
2019-01-21,520.0,660.0,421.0,458.0,3117436.0,660.0,421.0,520.0,458.0,3108716,-0.07142857142857142,-0.10196078431372549,-0.05308464849354376,-0.17450980392156862,42.13845569497895,13.405797101449275,26.729459518361114,-86.59420289855072,-51566843.18361881,-0.32155387849465583,-36809142
2019-01-22,574.0,608.0,508.0,528.0,2970906.0,608.0,508.0,574.0,528.0,2962186,0.10384615384615385,0.15283842794759825,-0.07878787878787878,0.20665083135391923,49.03221825838065,38.768115942028984,27.29105372125967,-61.231884057971016,-53344154.78361881,-0.3737776649235125,-33846956
2019-01-23,596.0,596.0,448.0,489.0,1879954.0,596.0,448.0,596.0,489.0,1871234,0.03832752613240418,-0.07386363636363637,-0.019736842105263157,-0.11811023622047244,45.76097514412506,24.63768115942029,25.60386473429951,-75.3623188405797,-54178623.99983502,-0.3595302802162986,-35718190
2019-01-26,461.0,562.0,421.0,439.0,1327078.0,562.0,421.0,461.0,439.0,1318358,-0.22651006711409397,-0.10224948875255624,-0.05704697986577181,-0.060267857142857144,41.90131542228429,6.521739130434782,23.30917874396135,-93.47826086956522,-55160379.95728183,-0.33601683031763396,-37036548
2019-01-27,490.0,490.0,305.0,309.0,5036134.0,490.0,305.0,490.0,309.0,5027414,0.06290672451193059,-0.296127562642369,-0.12811387900355872,-0.2755344418052256,33.89627166323213,1.0204081632653061,10.726609484373455,-98.9795918367347,-59970392.270795345,-0.43304445732249397,-42063962
2019-01-28,330.0,360.0,210.0,240.0,3060589.0,360.0,210.0,330.0,240.0,3051869,-0.32653061224489793,-0.22330097087378642,-0.2653061224489796,-0.3114754098360656,30.55917975400908,6.160164271047228,4.567437188249101,-93.83983572895278,-61801513.670795344,-0.5233160171103274,-45115831
2019-01-29,280.0,329.0,210.0,242.0,3066171.0,329.0,210.0,280.0,242.0,3057451,-0.15151515151515152,0.008333333333333333,-0.08611111111111111,0.0,30.771927058972892,6.570841889117043,4.583804774476521,-93.42915811088295,-63214621.27583736,-0.5843215511349328,-42058380
2019-01-30,217.0,359.0,212.0,265.0,3448063.0,359.0,212.0,217.0,265.0,3439343,-0.225,0.09504132231404959,0.0911854103343465,0.009523809523809525,33.30262600410404,11.293634496919918,8.008213552361392,-88.70636550308008,-64173893.81325233,-0.5611154990012085,-38619037
2019-02-02,258.0,290.0,180.0,180.0,854638.0,290.0,180.0,258.0,180.0,845918,0.1889400921658986,-0.32075471698113206,-0.19220055710306408,-0.1509433962264151,29.07281383894218,0.0,5.954825462012316,-100.0,-65019811.81325233,-0.5623547686465942,-39464955
2019-02-03,172.0,259.0,100.0,159.0,5381418.0,259.0,100.0,172.0,159.0,5372698,-0.3333333333333333,-0.11666666666666667,-0.10689655172413794,-0.4444444444444444,28.12246925330156,9.882747068676716,7.058793855198874,-90.11725293132328,-66405224.50507623,-0.5457934529962095,-44837653
2019-02-04,143.0,265.0,143.0,190.0,2214296.0,265.0,143.0,143.0,190.0,2205576,-0.1686046511627907,0.1949685534591195,0.023166023166023165,0.43,31.673156948017123,15.075376884422111,8.319374651032938,-84.92462311557789,-66911422.27556803,-0.5344467705875361,-42632077
2019-02-05,215.0,255.0,112.0,222.0,2215836.0,255.0,112.0,215.0,222.0,2207116,0.5034965034965035,0.16842105263157894,-0.03773584905660377,-0.21678321678321677,35.23001155828295,20.435510887772196,15.13121161362367,-79.5644891122278,-65722975.19864495,-0.522632277271396,-40424961
2019-02-06,171.0,251.0,171.0,196.0,456710.0,251.0,171.0,171.0,196.0,447990,-0.20465116279069767,-0.11711711711711711,-0.01568627450980392,0.5267857142857143,33.69521423487207,16.08040201005025,17.197096594081515,-83.91959798994975,-65890971.44864495,-0.554513519761749,-40872951
2019-02-10,182.0,256.0,150.0,151.0,1995580.0,256.0,150.0,182.0,151.0,1986860,0.06432748538011696,-0.22959183673469388,0.0199203187250996,-0.12280701754385964,31.164612357325993,9.107142857142858,15.207685251655098,-90.89285714285714,-67840343.52411665,-0.6132024755994082,-42859811
2019-02-12,150.0,243.0,141.0,155.0,987043.0,243.0,141.0,150.0,155.0,978323,-0.17582417582417584,0.026490066225165563,-0.05078125,-0.06,31.655959478369226,10.826771653543307,12.0047721735788,-89.1732283464567,-68550107.26921469,-0.5984654404262028,-41881488
2019-02-13,155.0,210.0,111.0,134.0,1194883.0,210.0,111.0,155.0,134.0,1186163,0.03333333333333333,-0.13548387096774195,-0.13580246913580246,-0.2127659574468085,30.427972789258206,6.854838709677419,8.929584406787857,-93.14516129032258,-69185123.82477024,-0.627164727744992,-43067651
2019-02-16,181.0,257.0,128.0,180.0,3329960.0,257.0,128.0,181.0,180.0,3321240,0.16774193548387098,0.34328358208955223,0.22380952380952382,0.15315315315315314,36.260663362227454,17.316017316017316,11.665875893079344,-82.68398268398268,-69828774.98756094,-0.568198393353972,-39746411
2019-02-17,210.0,210.0,140.0,140.0,1632232.0,210.0,140.0,210.0,140.0,1623512,0.16022099447513813,-0.2222222222222222,-0.1828793774319066,0.09375,33.62109465116836,10.256410256410257,11.475755427368327,-89.74358974358974,-71452286.98756094,-0.574486995962699,-41369923
2019-02-18,228.0,228.0,121.0,138.0,1372443.0,228.0,121.0,228.0,138.0,1363723,0.08571428571428572,-0.014285714285714285,0.08571428571428572,-0.1357142857142857,33.48982486106904,14.615384615384615,14.062604062604057,-85.38461538461539,-72382677.44550487,-0.5671092646636023,-42733646
2019-02-19,150.0,220.0,150.0,161.0,2134779.0,220.0,150.0,150.0,161.0,2126059,-0.34210526315789475,0.16666666666666666,-0.03508771929824561,0.2396694214876033,36.55754303352313,23.55212355212355,16.141306141306135,-76.44787644787645,-73840546.4740763,-0.5140839756584533,-40607587
2019-02-20,160.0,284.0,133.0,279.0,2790513.0,284.0,133.0,160.0,279.0,2781793,0.06666666666666667,0.7329192546583851,0.2909090909090909,-0.11333333333333333,49.44176330462308,69.11196911196912,35.75982575982576,-30.888030888030887,-71242978.17606306,-0.41708972053112064,-37825794
2019-02-23,275.0,410.0,274.0,410.0,15138424.0,410.0,274.0,275.0,410.0,15129704,0.71875,0.46953405017921146,0.44366197183098594,1.0601503759398496,59.319151483310506,100.0,64.22136422136423,-0.0,-56113274.17606306,-0.046663465003071794,-22696090
2019-02-24,440.0,565.0,440.0,550.0,5490185.0,565.0,440.0,440.0,550.0,5481465,0.6,0.34146341463414637,0.3780487804878049,0.6058394160583942,66.7870594128952,96.7741935483871,88.6287208867854,-3.225806451612903,-51947360.77606306,0.03544355769040376,-17214625
2019-02-25,445.0,555.0,445.0,490.0,1251485.0,555.0,445.0,445.0,490.0,1242765,0.011363636363636364,-0.10909090909090909,-0.017699115044247787,0.011363636363636364,61.570440506823566,83.48017621145374,93.41812325328027,-16.519823788546255,-52173318.048790336,0.047506445339432886,-18457390
2019-02-26,331.0,460.0,331.0,399.0,1847601.0,460.0,331.0,331.0,399.0,1838881,-0.25617977528089886,-0.18571428571428572,-0.17117117117117117,-0.25617977528089886,54.6042114007789,63.436123348017624,81.23016436928616,-36.563876651982376,-52073533.808480255,0.13230128432915214,-20296271
2019-02-27,360.0,433.0,357.0,378.0,732109.0,433.0,357.0,360.0,378.0,723389,0.08761329305135952,-0.05263157894736842,-0.058695652173913045,0.07854984894259819,53.11082856565981,58.81057268722467,68.57562408223201,-41.18942731277533,-52397155.2032171,0.1639533394374438,-21019660
2019-03-02,330.0,410.0,310.0,332.0,1273791.0,410.0,310.0,330.0,332.0,1265071,-0.08333333333333333,-0.12169312169312169,-0.053117782909930716,-0.13165266106442577,49.89199092762323,48.6784140969163,56.97503671071953,-51.3215859030837,-53105594.963217095,0.18192306872663255,-22284731
2019-03-03,330.0,442.0,325.0,380.0,2877004.0,442.0,325.0,330.0,380.0,2868284,0.0,0.14457831325301204,0.07804878048780488,0.04838709677419355,53.08703577269389,59.25110132158591,55.58002936857562,-40.74889867841409,-53277201.69825983,0.19813417528328608,-19416447
2019-03-04,310.0,374.0,282.0,339.0,3926420.0,374.0,282.0,310.0,339.0,3917700,-0.06060606060606061,-0.10789473684210527,-0.15384615384615385,-0.13230769230769232,50.145788239740135,50.220264317180614,52.71659324522761,-49.779735682819386,-52340360.393912,0.21835405546729736,-23334147
